RAdeg,DEdeg,Umag,Bmag,Vmag,Imag,Jmag,Hmag,Ksmag,[3.6],[4.5],[5.8],[8.0],[24],SpClass,GeneralClass
84.998,-69.6251,,,,,-1.841000000000001,-3.3209999999999997,-5.214,-8.0863,-9.014199999999999,-10.008899999999999,-11.5029,-16.62,YSO,DSS
85.0028,-69.7871,-4.037,-3.1020000000000003,-3.6540000000000004,-4.297,-4.610999999999999,-5.349,-6.497999999999999,-8.1251,-8.7929,-9.7298,-11.1021,-17.0518,HII,Other
85.0183,-69.7438,-1.9459999999999986,-4.119999999999999,-3.177,-4.697,-5.02,-5.628,-6.786999999999999,,,,,,HII,Other
85.0393,-69.6731,-5.877999999999999,-4.744999999999999,-5.071000000000001,-5.514,-5.583,-6.455,-6.786999999999999,-6.963799999999999,,-7.8271999999999995,,,HII,Other
85.0396,-69.7482,1.211999999999999,-0.4739999999999982,-1.9250000000000012,-3.6510000000000002,-4.503,-5.391,-5.606999999999999,-5.651999999999999,-5.683,,,-16.5442,HII,Other
85.0465,-69.3318,0.08699999999999902,0.6979999999999988,-1.6830000000000003,-0.8329999999999989,,,,,-4.884399999999999,-6.237399999999999,,-11.9311,SNR,Other
85.0502,-70.1544,-0.9390000000000007,-1.1379999999999997,-1.9179999999999997,-2.584,,-3.4189999999999987,-3.487,-3.961499999999999,-3.859,,,-14.361899999999999,YSO,DSS
85.0502,-70.1544,-0.9390000000000007,-1.1379999999999997,-1.9179999999999997,-2.584,,-3.4189999999999987,-3.487,-3.961499999999999,-3.859,,,-14.361899999999999,YSO,DSS
85.0505,-69.668,,,,,-9.932,-10.192,-10.498999999999999,-11.2402,-11.8217,-12.2967,-13.3468,-16.5678,YSG,Other
85.056,-69.3797,-7.608999999999999,-6.496,-6.511,-7.742,-8.064,-8.673,-9.918,-11.980899999999998,-12.6645,-13.247599999999998,-13.9494,-15.623899999999999,B[e],Other
85.086,-66.2456,,,,,-1.9289999999999985,-4.645,-6.777999999999999,-9.510399999999999,-10.5924,-11.5058,-12.335799999999999,-14.029599999999999,CAGB,DSS
85.1018,-69.3548,-3.0919999999999996,-3.628,-5.54,-8.209999999999999,-9.379999999999999,-10.261,-10.666,-11.0042,-10.9642,-11.2987,-11.7726,-13.9216,RSG,DSS
85.1285,-66.2936,-3.011,-2.2589999999999986,-3.0149999999999992,-2.250999999999998,-2.953999999999999,-3.359,-4.446999999999999,-6.2676,-7.2448999999999995,-8.767199999999999,-10.5792,-15.1036,CPN,Other
85.1417,-69.4194,-3.011,-2.203000000000001,-2.5530000000000013,-3.136999999999999,-3.4160000000000004,-4.436,-5.921999999999999,-8.680299999999999,-9.7911,-10.7555,-11.937899999999999,-15.0611,YSO,DSS
85.1503,-69.8805,2.682999999999999,2.4449999999999985,1.8120000000000007,1.2499999999999996,-4.004,-6.279,-8.163,-10.4337,-11.3871,-12.1939,-12.9727,-14.4193,CAGB,DSS
85.1823,-69.3661,-1.2060000000000002,-3.4979999999999993,-5.1499999999999995,-8.139,-9.700999999999999,-10.611,-11.075,-11.4637,-11.480599999999999,-11.846499999999999,-12.3761,-13.8638,RSG,DSS
85.1833,-69.4318,,,,,-2.8259999999999987,-3.706999999999999,-4.632,-6.828099999999999,-7.6639,-8.927299999999999,,-15.1772,YSO,DSS
85.1833,-69.4318,,,,,-2.8259999999999987,-3.706999999999999,-4.632,-6.828099999999999,-7.6639,-8.927299999999999,,-15.1772,YSO,DSS
85.1876,-70.4686,-0.6849999999999994,0.18600000000000194,-1.2790000000000004,-2.169000000000001,-3.4130000000000003,-4.026999999999999,-4.987,-7.4892,-8.4469,-9.6465,-10.837599999999998,-15.9062,HII,Other
85.1931,-70.1885,,0.9910000000000017,0.26900000000000146,-0.6039999999999996,-2.3709999999999987,-3.033999999999999,-3.487,,-5.0755,-7.831099999999999,-9.3508,-13.7753,YSO,DSS
85.2021,-69.56,,-1.764000000000001,-5.585,,-9.355,-10.318999999999999,-10.809,-11.3778,-11.5473,-11.9447,-12.6847,-15.078299999999999,RSG,DSS
85.2262,-69.5552,,,,,-2.9669999999999987,-4.244999999999999,-5.275,-7.6317,-8.4034,-9.375,-10.8368,-14.798399999999999,UNK,Other
85.2303,-69.3904,-1.8319999999999979,-3.638,-5.7700000000000005,-8.152999999999999,-9.693,-10.646999999999998,-10.975999999999999,-11.2449,-11.123899999999999,-11.391,-11.6626,-13.5485,RSG,DSS
85.2324,-69.6797,,,,,-1.6370000000000005,-2.9079999999999995,-4.099,-6.571399999999999,-6.8203,-8.2976,,-12.8137,YSO,DSS
85.2329,-69.2708,-5.159999999999999,-4.3260000000000005,-4.351,-4.222,-4.257,-4.202999999999999,-4.234,-4.540899999999999,-5.0822,-5.523899999999999,-8.4131,-14.1261,OPN,Other
85.2424,-69.8869,,,,,-4.071999999999999,-5.978,-7.541,-9.7308,-10.4979,-11.1945,-11.835899999999999,-12.8988,CAGB,DSS
85.2466,-69.3101,-1.9199999999999988,-3.2680000000000007,-5.430000000000001,-7.809,,,,-11.4144,-11.6066,-11.875599999999999,-11.945699999999999,-14.8398,RSG,DSS
85.2786,-69.2875,-1.7519999999999996,-3.378,-5.37,-7.9959999999999996,-9.564,-10.35,-10.748,-11.1918,-11.110399999999998,-11.384,-11.6995,-13.877099999999999,RSG,DSS
85.2835,-72.7022,,,,,-1.5169999999999995,-1.6159999999999997,-2.280999999999999,-3.341199999999999,-4.4748,-5.2782,-7.222199999999999,-12.3795,OPN,Other
85.2944,-69.6344,-2.142999999999998,-4.151999999999999,-5.7540000000000004,,-9.731,-10.538,-10.889,-11.079799999999999,-11.2905,-11.5903,-11.9401,-14.032499999999999,RSG,DSS
85.3582,-71.2982,,,,,-2.242000000000001,-2.9989999999999988,-3.615,,-5.616299999999999,-7.8637999999999995,,-15.3332,YSO,DSS
85.5029,-69.1937,-1.168,-3.212999999999999,-5.0520000000000005,-9.212,-8.62,-9.503,-9.837,-10.0984,-9.8904,-10.175699999999999,-10.4686,-11.8778,RSG,DSS
85.5882,-69.1058,0.9389999999999994,1.3029999999999993,0.669,-0.8449999999999993,-2.085000000000001,-2.808,-3.517999999999999,,-5.4549,-8.4108,-10.049299999999999,-14.337599999999998,HII,Other
85.5917,-69.0499,,,,,,,-4.446999999999999,-8.6099,-9.8011,-10.735399999999998,-11.5655,-12.611,RCrB,Other
85.6406,-71.291,0.3210000000000008,0.6530000000000007,-0.03599999999999828,-1.1989999999999985,-2.888,-3.5860000000000003,,-6.7265999999999995,-7.3385,-9.1077,-10.7244,-16.0418,YSO,DSS
85.6476,-69.1467,-2.412,-4.1579999999999995,-6.11,,-9.677999999999999,-10.503,-10.814,-11.0595,-10.8926,-11.1552,-11.474,-13.5962,RSG,DSS
85.7035,-69.7462,-0.4749999999999986,0.5170000000000015,0.516999999999999,-1.1709999999999998,-2.9459999999999997,-2.805999999999999,-4.25,,,,,-15.5186,YSO,DSS
85.8039,-68.5659,-1.8499999999999985,-2.645999999999999,-2.9409999999999994,-4.081,-4.696999999999999,-5.15,-5.589,-7.5342,-8.3806,-9.1066,-9.9705,-11.949,PAGB,DSS
85.8764,-69.4129,-0.12099999999999939,0.32299999999999884,-0.576000000000001,0.26600000000000135,-2.3840000000000003,-3.7379999999999995,-5.807,-8.6083,-9.7239,-10.6776,-12.0562,-15.9576,YSO,DSS
85.8764,-69.4129,-0.12099999999999939,0.32299999999999884,-0.576000000000001,0.26600000000000135,-2.3840000000000003,-3.7379999999999995,-5.807,-8.6083,-9.7239,-10.6776,-12.0562,-15.9576,YSO,DSS
85.9002,-70.1764,,,,,-2.2319999999999993,-4.975,-7.061999999999999,-9.203899999999999,-10.5125,-11.2227,-11.8336,-13.2828,CAGB,DSS
86.0569,-69.7384,,,,,,-2.3000000000000007,-4.690999999999999,-9.1799,-10.5559,-11.6725,-12.6718,-14.6569,CAGB,DSS
86.0575,-66.2791,0.6279999999999994,-2.3499999999999996,-4.877999999999999,-9.667,-9.557,-10.6,-11.033,-11.497699999999998,-11.5093,-11.7778,-12.0636,-13.8871,RSG,DSS
86.1917,-65.7355,,,,,-14.469,-14.706999999999999,-14.68,-14.749699999999999,-14.865,-14.845099999999999,-14.8134,-14.866499999999998,STAR,Other
