RAdeg,DEdeg,Umag,Bmag,Vmag,Imag,Jmag,Hmag,Ksmag,[3.6],[4.5],[5.8],[8.0],[24],SpClass,GeneralClass
81.7794,-70.3339,-3.5389999999999997,-2.7270000000000003,-2.789999999999999,-2.751999999999999,-3.0199999999999996,-3.6500000000000004,-4.85,-7.0799,-7.834099999999999,-8.347199999999999,-9.032499999999999,-10.9566,PAGB,DSS
81.8468,-71.4071,1.9750000000000014,2.5120000000000005,1.745000000000001,0.5289999999999999,-0.8099999999999987,-1.5799999999999983,-2.34,-4.669599999999999,-5.069099999999999,-7.5024,-9.3508,-14.4522,YSO,DSS
81.8986,-69.1489,-2.6229999999999993,-1.8689999999999998,-2.1119999999999983,-2.956999999999999,-3.549999999999999,-4.17,-5.6899999999999995,-8.567599999999999,-9.759599999999999,-10.7327,-11.9469,-14.383299999999998,PAGB,DSS
81.9113,-69.4792,-1.8999999999999986,-3.981,-5.9399999999999995,-7.8759999999999994,,,,-10.4956,-10.3316,-10.546,-10.7211,-12.6374,RSG,DSS
81.9151,-69.1504,-5.397,-5.186,-6.334,,,,,-10.821,-10.6018,-10.8199,-10.9172,-11.1232,RSG,DSS
81.9484,-71.8147,-4.882,-4.177,-4.276999999999999,-4.705,-5.049999999999999,-5.719999999999999,-6.66,-8.4602,-9.1273,-9.6359,-10.388399999999999,-12.4758,PAGB,DSS
82.0246,-70.1317,,,,,-6.469999999999999,-7.719999999999999,,-9.5826,-9.6769,-9.7662,-10.220799999999999,-11.988499999999998,CAGB,DSS
82.1076,-69.7799,2.0650000000000013,-1.2540000000000013,-2.657,-5.15,-6.559999999999999,-7.539999999999999,-8.04,-8.632399999999999,-8.5933,-8.747399999999999,-9.1519,-9.6223,CAGB,DSS
82.3526,-69.9206,,,,,-2.969999999999999,-5.9399999999999995,,-10.9192,-11.6915,-12.4043,-13.3166,-16.330099999999998,OAGB,DSS
82.4783,-69.0711,-2.626999999999999,-4.116,-5.974,,,,,-10.2801,-10.138399999999999,-10.369299999999999,-10.608799999999999,-11.716999999999999,RSG,DSS
82.5194,-68.7914,-1.4269999999999996,-3.6259999999999994,-5.543999999999999,,,,,-9.940199999999999,-9.7224,-9.9391,-10.1127,-11.099699999999999,RSG,DSS
82.615,-69.0664,3.1290000000000013,1.9529999999999994,1.4849999999999994,-3.583,-5.83,-6.59,-7.039999999999999,-7.6158,-7.7348,-7.9518,-8.1648,-8.882299999999999,OAGB,DSS
82.6853,-71.7167,1.971,0.5820000000000007,-0.7809999999999988,-2.1159999999999997,-3.09,-3.719999999999999,-3.92,-4.634699999999999,-6.322099999999999,-8.296,-10.6799,-15.7599,CAGB,DSS
82.6875,-68.3581,,,,,-3.9800000000000004,-5.809999999999999,-7.32,-9.508099999999999,-9.8906,-10.2644,-10.7514,-11.3308,CAGB,DSS
82.695,-67.2825,-1.9289999999999985,-3.424999999999999,-5.0969999999999995,-9.01,-7.77,-8.51,,-8.8798,-8.7013,-8.8325,-8.8188,-9.213899999999999,RSG,DSS
82.7016,-67.2794,-4.317,-4.366,-5.443999999999999,,,,,-9.735899999999999,-9.5313,-9.758099999999999,-9.8484,-10.7213,RSG,DSS
82.7178,-67.2929,-3.6769999999999996,-4.235999999999999,-5.664,,-8.77,,,-9.890699999999999,-9.750399999999999,-9.9229,-10.0853,-11.7098,RSG,DSS
82.8685,-70.1743,,2.833000000000002,-1.0350000000000001,-4.276,-5.83,-7.07,-7.91,-8.916699999999999,-9.2335,-9.7114,-10.6219,-12.7209,OAGB,DSS
